time,open,high,low,close,volume,trades
2026-04-27T00:00:00Z,251.36,256.12,251.34,255.42,18086.3468,0
2026-04-27T04:00:00Z,255.39,257.18,247.59,248.16,16493.1932,0
2026-04-27T08:00:00Z,248.17,251.16,247.44,249.77,9345.4405,0
2026-04-27T12:00:00Z,249.79,251.7,244.36,246.02,2965.6304,0
2026-04-27T16:00:00Z,246.03,248.17,244.5,246.05,19837.755,0
2026-04-27T20:00:00Z,246.05,248.47,245.22,248.28,18089.5285,0
2026-04-28T00:00:00Z,248.36,250.21,246.11,248.08,21474.391,0
2026-04-28T04:00:00Z,248.1,249.76,246.67,249.16,20405.674,0
2026-04-28T08:00:00Z,249.14,250.85,247.85,250.42,22825.8614,0
2026-04-28T12:00:00Z,250.57,256.53,248.52,256.29,27101.6723,0
2026-04-28T16:00:00Z,256.25,260.18,253.96,257.07,24523.0142,0
2026-04-28T20:00:00Z,257.02,258.86,255.64,258.25,18990.8008,0
2026-04-29T00:00:00Z,258.23,264.97,257.01,264.59,18980.2064,0
2026-04-29T04:00:00Z,264.98,266.5,260.56,260.56,4200.0696,0
2026-04-29T08:00:00Z,260.71,263.27,258.05,258.28,10885.8023,0
2026-04-29T12:00:00Z,258.38,258.86,250.82,252.1,23204.9946,0
2026-04-29T16:00:00Z,252.16,252.45,248.44,251.86,23509.747,0
2026-04-29T20:00:00Z,251.89,257.93,251.83,253.92,20805.4803,0
2026-04-30T00:00:00Z,253.93,254.26,249.65,250.36,21341.5019,0
2026-04-30T04:00:00Z,250.34,251.37,248.82,250.26,18386.5527,0
2026-04-30T08:00:00Z,250.26,250.94,248.79,250.15,14928.1411,0
2026-04-30T12:00:00Z,250.17,251.65,247.0,250.11,20131.2971,0
2026-04-30T16:00:00Z,250.11,250.52,248.55,249.38,12623.1666,0
2026-04-30T20:00:00Z,249.31,250.72,247.87,249.05,11093.2734,0
2026-05-01T00:00:00Z,249.09,253.97,249.09,253.53,11717.7247,0
2026-05-01T04:00:00Z,253.56,255.92,252.2,255.25,15217.963,0
2026-05-01T08:00:00Z,255.34,265.16,254.76,261.86,18758.4488,0
2026-05-01T12:00:00Z,261.89,272.7,258.55,272.14,23590.84891957,0
2026-05-01T16:00:00Z,272.16,275.0,269.42,272.97,23942.5191,0
2026-05-01T20:00:00Z,273.0,274.27,268.63,270.81,19059.9529,0
2026-05-02T00:00:00Z,270.84,273.8,269.04,273.66,16026.9644,0
2026-05-02T04:00:00Z,273.81,278.7,271.1,273.89,15643.413,0
2026-05-02T08:00:00Z,273.81,275.6,272.33,274.22,16478.335,0
2026-05-02T12:00:00Z,274.23,277.92,273.21,277.81,17109.94939982,0
2026-05-02T16:00:00Z,277.9,290.77,275.88,290.1,19393.8898,0
2026-05-02T20:00:00Z,290.19,292.13,285.56,287.03,23281.2716,0
2026-05-03T00:00:00Z,287.11,287.42,281.72,285.48,23945.0566,0
2026-05-03T04:00:00Z,285.47,292.3,285.04,290.74,19152.7789,0
2026-05-03T08:00:00Z,290.76,291.17,282.92,288.28,17196.51251008,0
2026-05-03T12:00:00Z,288.27,291.5,285.77,289.61,17283.6944,0
2026-05-03T16:00:00Z,289.66,291.71,288.04,291.2,14459.3565648,0
2026-05-03T20:00:00Z,291.23,296.67,288.57,289.48,20085.0268,0
2026-05-04T00:00:00Z,289.51,295.0,286.45,293.35,17943.4946,0
2026-05-04T04:00:00Z,293.49,295.18,285.86,289.65,17908.2914,0
2026-05-04T08:00:00Z,289.66,293.04,280.71,283.04,19512.6873,0
2026-05-04T12:00:00Z,283.0,286.9,276.59,279.45,20604.595,0
2026-05-04T16:00:00Z,279.43,284.76,277.58,282.38,16700.8259,0
2026-05-04T20:00:00Z,282.31,288.07,281.02,284.93,15948.0474,0
2026-05-05T00:00:00Z,284.92,290.59,283.45,286.32,19464.6095,0
2026-05-05T04:00:00Z,286.28,287.18,283.61,284.77,14916.7032,0
2026-05-05T08:00:00Z,284.83,288.68,282.48,287.85,14159.594,0
2026-05-05T12:00:00Z,287.86,288.66,282.53,283.2,18366.7782,0
2026-05-05T16:00:00Z,283.34,286.69,281.07,286.26,17158.8263,0
2026-05-05T20:00:00Z,286.3,305.05,285.43,292.37,26430.984,0
2026-05-06T00:00:00Z,292.5,296.8,283.88,286.74,20175.1024,0
2026-05-06T04:00:00Z,286.65,294.85,285.23,292.56,17305.8531,0
2026-05-06T08:00:00Z,292.49,313.03,291.84,312.93,18850.852,0
